tp,fp,fn,tn,iou,dice,precision,recall,f1,image_name
66195,20197,23416,938768,0.6028249307827952,0.7522030874430992,0.7662167793225506,0.7386927944031572,0.7522025876064098,01_test
77517,15939,25837,929283,0.6498034251745719,0.7877343630873038,0.8294491525334976,0.7500145132191303,0.787733864348268,02_test
65567,11189,34871,936949,0.5873758140898943,0.7400589184693609,0.8542263796855722,0.6528106891748859,0.740058427396688,03_test
63309,10104,29179,945984,0.6170949001811341,0.7632142060580513,0.8623677005317537,0.6845104229663902,0.7632137126637644,04_test
58308,9297,35466,945505,0.5657071339119083,0.7226219024735397,0.8624805857427339,0.6217928210311836,0.7226214156171031,05_test
60569,9160,36979,941868,0.5676144244052216,0.7241760672374314,0.8686342841447801,0.6209148316662473,0.7241755810621038,06_test
59407,9776,32175,947218,0.5861106178043558,0.7390538985429723,0.8586936096893936,0.6486755039129013,0.7390534082447893,07_test
53246,10203,32695,952432,0.5538151106615721,0.7128455719879988,0.8391936831023469,0.6195645849987833,0.7128450833175594,08_test
45876,7625,35017,960058,0.5182674710169879,0.6827090495060589,0.8574792994363193,0.567119528258723,0.682708570272331,09_test
57157,13978,24761,952680,0.5960311170372484,0.7468915996370741,0.8035003865775849,0.6977343196770218,0.7468911021143184,10_test
61448,15916,27372,943840,0.5866941643695893,0.7395176430899514,0.7942712372577133,0.6918261652703015,0.7395171454618974,11_test
57458,12129,29067,949922,0.5824193646422606,0.736112534585835,0.8257002026121877,0.6640624097005021,0.736112040467471,12_test
63356,10021,34389,940810,0.5879034203683174,0.7404775540214555,0.8634313204292432,0.648176377301671,0.7404770641565217,13_test
57642,13433,23459,954042,0.6097488734147529,0.7575701818896701,0.8110024621764194,0.7107433940307674,0.7575696840553856,14_test
52290,15017,19244,962025,0.6041524650136434,0.7532357156693394,0.7768879908363635,0.7309810719276012,0.7532352161276917,15_test
60731,20194,30204,937447,0.546491014941676,0.7067496799679579,0.7504603027401859,0.6678506625538259,0.706749181660442,16_test
52027,15280,32921,948348,0.5190864828139933,0.6834192637306924,0.7729805220738857,0.6124570325303427,0.6834187704388897,17_test
53205,17694,26797,950880,0.5445975270170264,0.7051643130217482,0.7504337155566309,0.6650458738448408,0.705163814836939,18_test
61786,16835,21237,948718,0.6187386088183346,0.7644700700257079,0.7858714592693318,0.7442034135029546,0.7644695703921148,19_test
53533,23002,20586,951455,0.5511990197737751,0.7106747912387943,0.6994577644123675,0.7222574508463113,0.7106742913630174,20_test
